id,url,headline,author,date
0,https://www.theverge.com/23334052/ecoflow-delta-pro-battery-review-rv-off-grid-price,EcoFlow Delta Pro battery review: maximum solar power for an uncertain world,Thomas Ricker,
1,https://www.theverge.com/2022/9/9/23344306/apple-watch-series-8-emergency-health-heart-monitor,"In Apple’s world, you’ll die without its watch",Nicole Wetsman,
2,https://www.theverge.com/2022/9/9/23345286/elon-musk-twitter-third-termination-notice-letter-deal-acquisition,Elon Musk sends yet another notice trying to terminate the Twitter deal,Jay Peters,
3,https://www.theverge.com/23342927/apple-watch-ultra-tv-watch,Let me watch TV on the Apple Watch Ultra,Andrew Marino,
4,https://www.theverge.com/2022/9/9/23343459/roblox-age-guidelines-metaverse-ads-developer-conference-announcements,Roblox is ready to grow up,Mia Sato,
5,https://www.theverge.com/2022/9/9/23345058/disney-marvel-games-showcase-d23-captain-america-tron-black-panther,The biggest announcements and trailers from Disney and Marvel’s games showcase,Jay Peters,
6,https://www.theverge.com/2022/9/9/23344587/apple-iphone-14-pro-event-podcast-roundtable-vergecast,Vergecast: iPhone 14 event and our first impressions,Andrew Marino,
7,https://www.theverge.com/2022/9/9/23344694/apple-airpods-personalized-spatial-audio-sony-ear-scanning,Apple’s personalized spatial audio trick is really a Sony idea,Chris Welch,
8,https://www.theverge.com/2022/9/10/23345385/wall-e-criterion-collection-4k-blu-ray,WALL-E is rolling his way into the Criterion Collection,Mitchell Clark,2022-09-10
9,https://www.theverge.com/2022/9/7/23341577/applecare-plus-unlimited-iphone-mac-ipad-airpods-watch-repairs,Klutzes rejoice: AppleCare Plus now covers unlimited repairs,Mitchell Clark,2022-09-10
10,https://www.theverge.com/2022/9/9/23345067/valve-steam-deck-repair-center-fix,Valve now has repair centers that can fix your Steam Deck,Jay Peters,2022-09-09
11,https://www.theverge.com/23320405/apple-iphone-14-pro-max-always-on-display-screen-feature,"The iPhone 14 Pro’s always-on display, explained",Cameron Faulkner,2022-09-09
12,https://www.theverge.com/2022/9/9/23345000/icloud-shared-photo-library-delayed-ios-16,iCloud Shared Photo Library won’t launch with iOS 16,Mitchell Clark,
14,https://www.theverge.com/2022/9/9/23344560/instagram-reposting-share-retweet-feature,Instagram begins testing ‘reposts’ ,Jasmine Hicks,2022-09-09
15,https://www.theverge.com/2022/9/9/23344834/semiconductor-joe-biden-ohio-intel-gelsinger-chips-science-subsidies,President Joe Biden speaks after groundbreaking for Intel’s $20 billion semiconductor plant,Makena Kelly,2022-09-09
16,https://www.theverge.com/2022/9/9/23344308/iphone-14-preorder-apple-store-errors-shipping,Apple Store errors tripped up many iPhone 14 preorder attempts,Umar Shakir,2022-09-09
18,https://www.theverge.com/2022/9/9/23344749/interview-with-the-vampire-trailer-anne-rice,Check out Interview with the Vampire’s newest trailer,Ash Parrish,2022-09-09
19,https://www.theverge.com/2022/9/8/23320934/sony-playstation-5-ps5-console-restock-public-queue-availability-inventory-check,You can still get a PlayStation 5 bundle from Sony and Walmart without standing in line,Sheena Vasani,2022-09-09
20,https://www.theverge.com/2022/9/9/23344611/google-chromecast-1080p-design-leak,Google’s HD Chromecast will probably look a lot like the 4K one ,Mitchell Clark,2022-09-09
21,https://www.theverge.com/23344595/philips-hue-apple-homekit-connect-how-to,How to connect Philips Hue with Apple HomeKit ,Jennifer Pattison Tuohy,2022-09-09
22,https://www.theverge.com/2022/9/9/23342840/logitech-webcam-logi-capture-tune-g-hub-software-m2-m1-mac,Logitech’s webcam software is a mess,Cameron Faulkner,2022-09-09
23,https://www.theverge.com/2022/9/9/23344263/intel-arc-graphics-cards-desktop-gaming-gpu-specs,Intel reveals the specs of its new Arc graphics cards,Alice Newcome-Beill,2022-09-09
24,https://www.theverge.com/23320607/iphone-14-plus-pro-max-preorder-buy-price-release-date-apple,How to preorder the iPhone 14,Cameron Faulkner,2022-09-09
25,https://www.theverge.com/2022/9/9/23344441/quentin-tarantino-pulp-fiction-nft-miramax-lawsuit-settled,Quentin Tarantino settles NFT lawsuit with Miramax,Adi Robertson,
26,https://www.theverge.com/2022/8/23/23318956/acer-chromebook-vero-514-eco-conscious-laptop-recycling,Acer’s Vero 514 brings its ‘eco-conscious’ concept to a Chromebook,Mitchell Clark,2022-09-09
27,https://www.theverge.com/2022/9/8/23343336/apple-tim-cook-imessage-blue-green-bubbles-texting-rcs,Tim Cook revealed the real reason Apple won’t fix green bubbles,Jay Peters,2022-09-08
28,https://www.theverge.com/2022/9/9/23344547/call-of-duty-next-activision-warzone-2-modern-warfare-2,Call of Duty Next event will showcase the future of the franchise,Ash Parrish,2022-09-09
29,https://www.theverge.com/2022/9/9/23344349/lausd-warned-ransomware-threat-trickbot,LA school district was warned of ransomware threat before recent shutdown,Corin Faife,2022-09-09
30,https://www.theverge.com/23344325/chromebook-chrome-os-android-app-uninstall-how-to,How to uninstall apps from a Chromebook,Monica Chin,2022-09-09
31,https://www.theverge.com/2022/9/8/23342908/apple-satellite-sos-globalstar-business-ast-lynk-spacex,How Apple’s iPhone 14 satellite link puts it up against SpaceX and others,Mitchell Clark,2022-09-08
32,https://www.theverge.com/good-deals/2022/9/9/23343420/samsung-galaxy-buds-2-pro-govee-dreamview-g1-pro-gaming-light-samsung-m8-smart-monitor-deal-sale,Samsung’s new Galaxy Buds 2 Pro are $50 off,Sheena Vasani,2022-09-09
33,https://www.theverge.com/2022/9/9/23342981/united-airlines-eve-air-mobililty-investment-taxi-evtol,"United Airlines invests $15 million in electric aviation startup, orders 200 air taxis",Andrew J. Hawkins,2022-09-09
34,https://www.theverge.com/23344081/fujifilm-xh2-xh2s-mirrorless-camera-xf50mm-gf2035mm-lens-hands-on-impressions,Hands-on with Fujifilm’s new 40.2-megapixel X-H2 camera,Antonio G. Di Benedetto,2022-09-09
35,https://www.theverge.com/23323757/apple-airpods-pro-new-second-gen-preorder-buy-price-release-date,How to preorder new AirPods Pro,Alice Newcome-Beill,2022-09-09
36,https://www.theverge.com/23341046/apple-iphone-14-plus-pro-max-notch-event-announcements-watch-8-se-ultra-airpods-pro,Apple’s iPhone 14 event: the 9 biggest announcements,Emma Roth,2022-09-07
37,https://www.theverge.com/2022/9/8/23342614/asus-rog-6-gaming-phone-preorder-north-america,Asus’ ROG 6 Android gaming phones are available for preorder in North America,Alice Newcome-Beill,2022-09-09
38,https://www.theverge.com/2022/9/9/23344147/android-phone-call-noise-cancelation-beta,Google is working on ‘clear calling’ for Android phone calls,Thomas Ricker,
39,https://www.theverge.com/2022/9/8/23343752/apple-watch-ultra-repair-price-battery-replacement,Apple Watch Ultra repairs could be ultra-expensive without AppleCare,Mitchell Clark,2022-09-09
40,https://www.theverge.com/2022/9/8/23343755/black-adam-new-trailer-dwayne-johnson-hero,New Black Adam trailer hints he could end up as a hero after all,Jay Peters,2022-09-09
41,https://www.theverge.com/2022/9/8/23343550/apple-iphone-14-watch-8-price-increase-uk-eu-japan-china,Apple did raise prices with the iPhone 14 and Watch Series 8 — just not in the US or China,Mitchell Clark,2022-09-09
42,https://www.theverge.com/2022/9/8/23339186/gm-chevy-equinox-ev-announce-price-specs-suv,The 2024 Chevy Equinox EV is priced to be everyone’s first electric vehicle,Andrew J. Hawkins,2022-09-08
43,https://www.theverge.com/2022/9/8/23343358/microsoft-taskbar-windows-11-2-in-1-tablet,Microsoft is testing its tablet-friendly taskbar again in Windows 11,Jasmine Hicks,2022-09-08
44,https://www.theverge.com/23319085/iphone-14-vs-13-plus-pro-max-mini-comparison-specs-price-apple,How the iPhone 14 and 14 Plus compare to the Pro models — and the iPhone 13,Sheena Vasani,2022-09-08
45,https://www.theverge.com/2022/9/8/23343316/ea-battlefield-narrative-campaign-ridgeline-games-marcus-lehto,EA’s working on a new ‘narrative campaign’ for Battlefield,Jay Peters,2022-09-08
46,https://www.theverge.com/2022/9/8/23340894/netflix-lucky-luna-platform-game-iphone-android,Netflix’s latest game is a fresh take on platformers,Andrew Webster,2022-09-08
